Song,Performer,Peak Position,grouped_genre,release_year,release_month,spotify_track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,time_signature,spotify_track_duration_ms,prior_song_count,prior_top10_count,prior_best_peak,prior_avg_peak
Heart Attack,Demi Lovato,10,pop,2013,3,76.0,0.504,0.785,-4.802,0.104,0.0738,0.0,0.2389999999999999,0.502,173.968,8.0,4.0,210840.0,9,1,10.0,48.111111111111114
Made In The USA,Demi Lovato,80,pop,2013,8,60.0,0.5759999999999998,0.86,-3.913,0.0394,0.000875,0.0,0.316,0.5939999999999999,87.461,8.0,4.0,196093.0,10,2,10.0,44.3
Let It Go,Demi Lovato,38,pop,2013,12,62.0,0.505,0.624,-6.513,0.0371,0.0235,0.0,0.5,0.215,139.849,7.0,4.0,224386.0,11,2,10.0,47.54545454545455
Neon Lights,Demi Lovato,36,pop,2014,1,65.0,0.631,0.819,-4.24,0.122,0.0767,0.0,0.1,0.7329999999999999,125.928,9.0,4.0,233173.0,12,2,10.0,46.75
Cool For The Summer,Demi Lovato,11,pop,2015,7,71.0,0.5839999999999999,0.6139999999999999,-5.587,0.0363,0.00506,9.7e-05,0.0801999999999999,0.28,114.075,5.0,4.0,214739.0,13,2,10.0,45.92307692307692
Confident,Demi Lovato,21,pop,2015,10,75.0,0.6059999999999999,0.763,-6.197,0.0669,0.00182,0.000159,0.116,0.309,130.018,10.0,4.0,205745.0,14,2,10.0,43.42857142857143
Body Say,Demi Lovato,84,pop,2016,8,65.0,0.63,0.74,-4.786,0.0381,0.00589,2e-06,0.248,0.3,87.01,5.0,4.0,193893.0,15,2,10.0,41.93333333333333
Sorry Not Sorry,Demi Lovato,6,pop,2017,7,81.0,0.7049999999999998,0.64,-6.928,0.225,0.0237,0.0,0.262,0.887,144.077,11.0,4.0,203760.0,16,2,10.0,44.5625
Tell Me You Love Me,Demi Lovato,53,pop,2017,9,73.0,0.538,0.6,-5.463,0.0489,0.0273,0.0,0.1469999999999999,0.26,81.888,6.0,4.0,236986.0,17,3,6.0,42.294117647058826
Sober,Demi Lovato,47,pop,2018,7,78.0,0.397,0.3029999999999999,-10.413,0.11,0.798,4e-06,0.0824,0.17,170.22,1.0,3.0,197893.0,18,3,6.0,42.888888888888886
Anyone,Demi Lovato,34,pop,2020,2,62.0,0.5779999999999998,0.386,-6.338,0.0385,0.875,0.0,0.108,0.321,86.075,11.0,5.0,227785.0,19,3,6.0,43.10526315789474
I Love Me,Demi Lovato,18,pop,2020,3,71.0,0.664,0.561,-7.031,0.0495,0.00261,0.0,0.0763999999999999,0.7129999999999999,150.093,6.0,4.0,203672.0,20,3,6.0,42.65
Dancing With The Devil,Demi Lovato,56,pop,2021,4,74.0,0.4129999999999999,0.64,-5.811,0.0427,0.273,0.0,0.11,0.1489999999999999,75.245,8.0,4.0,243992.0,21,3,6.0,41.476190476190474
This Is Me,Demi Lovato & Joe Jonas,9,pop,2008,7,59.0,0.4839999999999999,0.8359999999999999,-2.767,0.0393,0.0159,0.0,0.0889999999999999,0.5939999999999999,90.878,1.0,4.0,189173.0,0,0,101.0,101.0
Really Don't Care,Demi Lovato Featuring Cher Lloyd,26,pop,2013,6,70.0,0.7059999999999998,0.7279999999999999,-3.602,0.0852,0.123,0.0,0.185,0.8509999999999999,121.017,7.0,4.0,201600.0,0,0,101.0,101.0
Free,Deniece Williams,25,rnb_soul,1976,12,52.0,0.507,0.3649999999999999,-10.733,0.0378,0.7419999999999999,0.00807,0.101,0.4689999999999999,91.182,6.0,4.0,356560.0,0,0,101.0,101.0
I've Got The Next Dance,Deniece Williams,73,rnb_soul,1979,8,29.0,0.816,0.778,-8.067999999999998,0.031,0.00579,0.00171,0.0645,0.957,124.341,10.0,4.0,350040.0,1,0,25.0,25.0
Silly,Deniece Williams,53,rnb_soul,1981,8,45.0,0.4729999999999999,0.2409999999999999,-14.872,0.0323,0.89,0.00386,0.1409999999999999,0.404,115.163,5.0,3.0,357360.0,2,0,25.0,49.0
It's Gonna Take A Miracle,Deniece Williams,10,rnb_soul,1982,4,45.0,0.567,0.458,-12.049,0.0257,0.85,0.000627,0.3509999999999999,0.665,98.317,7.0,3.0,249640.0,3,0,25.0,50.333333333333336
Let's Hear It For The Boy,Deniece Williams,1,rnb_soul,1984,4,62.0,0.808,0.4849999999999999,-8.829,0.056,0.0761,0.00414,0.0477,0.7139999999999999,122.659,0.0,4.0,262440.0,4,1,10.0,40.25
Next Love,Deniece Williams,81,rnb_soul,1984,8,29.0,0.816,0.778,-8.067999999999998,0.031,0.00579,0.00171,0.0645,0.957,124.341,10.0,4.0,350040.0,5,2,1.0,32.4
I Can't Wait,Deniece Williams,66,rnb_soul,1988,9,8.0,0.6109999999999999,0.7409999999999999,-11.321,0.0489,0.0288,0.000525,0.193,0.962,182.309,6.0,4.0,265626.0,6,2,1.0,40.5
Trapped By A Thing Called Love,Denise LaSalle,13,rnb_soul,1971,8,49.0,0.7189999999999999,0.4859999999999999,-9.489,0.0538,0.1189999999999999,3.2e-05,0.0718,0.824,141.515,5.0,3.0,160626.0,0,0,101.0,101.0
Now Run And Tell That,Denise LaSalle,46,rnb_soul,1972,2,11.0,0.909,0.627,-8.631,0.0348,0.0961,0.0,0.0464,0.945,111.757,11.0,4.0,200506.0,1,0,13.0,13.0
Love Me Right,Denise LaSalle,80,rnb_soul,1978,1,9.0,0.628,0.3659999999999999,-12.625,0.0487,0.539,0.0,0.392,0.6179999999999999,99.069,5.0,3.0,228733.0,2,0,13.0,29.5
Scorpio,Dennis Coffey & The Detroit Guitar Band,6,rnb_soul,1971,10,18.0,0.696,0.631,-15.944,0.0821,0.404,0.89,0.1479999999999999,0.641,118.966,11.0,4.0,260842.0,0,0,101.0,101.0
Taurus,Dennis Coffey & The Detroit Guitar Band,18,rnb_soul,1972,2,8.0,0.6089999999999999,0.84,-11.82,0.0421,0.0492,0.5849999999999999,0.0858,0.89,112.467,8.0,4.0,181354.0,1,1,6.0,6.0
Desert Moon,Dennis DeYoung,10,rock,1984,9,38.0,0.567,0.639,-6.117,0.0245,0.4209999999999999,1.1e-05,0.309,0.3569999999999999,106.734,2.0,4.0,368800.0,0,0,101.0,101.0
Don't Wait For Heroes,Dennis DeYoung,83,rock,1984,12,11.0,0.6029999999999999,0.753,-4.962,0.0457,0.393,7e-06,0.0688,0.4769999999999999,140.813,2.0,4.0,286000.0,1,1,10.0,10.0
Call Me,Dennis DeYoung,54,rock,1986,3,15.0,0.5839999999999999,0.33,-7.575,0.0286,0.8339999999999999,3e-06,0.0471,0.153,119.288,0.0,4.0,285600.0,2,1,10.0,46.5
This Is The Time,Dennis DeYoung,93,rock,1986,6,14.0,0.5819999999999999,0.5979999999999999,-5.865,0.0255,0.668,0.0,0.2109999999999999,0.2959999999999999,94.011,11.0,4.0,234093.0,3,1,10.0,49.0
Don't Look Any Further,Dennis Edwards,72,rnb_soul,1984,4,49.0,0.753,0.692,-7.655999999999999,0.0405,0.0512,0.00214,0.0663,0.889,95.15,9.0,4.0,243480.0,0,0,101.0,101.0
Nevermind,Dennis Lloyd,86,pop,2018,8,81.0,0.5919999999999999,0.691,-8.354,0.196,0.156,1e-05,0.4179999999999999,0.0796,99.976,3.0,4.0,156600.0,0,0,101.0,101.0
Change Of Heart,Dennis Yost And The Classics IV,49,other,1969,8,9.0,0.4779999999999999,0.309,-13.356,0.0262,0.83,0.00327,0.116,0.5789999999999998,99.925,5.0,4.0,177560.0,0,0,101.0,101.0
Midnight,Dennis Yost And The Classics IV,58,other,1969,11,1.0,0.33,0.318,-10.777,0.0324,0.76,1e-06,0.1719999999999999,0.467,121.306,9.0,4.0,174000.0,1,0,49.0,49.0
The Funniest Thing,Dennis Yost And The Classics IV,59,other,1970,3,2.0,0.456,0.4779999999999999,-9.847,0.028,0.7279999999999999,0.0,0.3529999999999999,0.627,108.603,2.0,4.0,157866.0,2,0,49.0,53.5
Where Did All The Good Times Go,Dennis Yost And The Classics IV,69,other,1970,10,1.0,0.495,0.382,-10.573,0.0254,0.4249999999999999,6.5e-05,0.0527,0.8259999999999998,88.774,9.0,4.0,154800.0,3,0,49.0,55.333333333333336
A Teenager Feels It Too,Denny Reed,94,other,1960,8,4.0,0.635,0.38,-12.085,0.0311,0.764,0.0,0.167,0.896,124.285,5.0,4.0,127800.0,0,0,101.0,101.0
Also Sprach Zarathustra (2001),Deodato,2,jazz,1973,2,12.0,0.448,0.763,-11.657,0.0493,0.4309999999999999,0.3589999999999999,0.2909999999999999,0.513,117.938,0.0,4.0,663133.0,0,0,101.0,101.0
Rhapsody In Blue,Deodato,41,jazz,1973,8,20.0,0.537,0.688,-12.789,0.0363,0.646,0.5839999999999999,0.0969,0.7009999999999998,100.52,5.0,4.0,525933.0,1,1,2.0,2.0
Happy Hour,Deodato,70,jazz,1982,6,25.0,0.786,0.75,-12.263,0.036,0.1749999999999999,0.128,0.12,0.966,127.145,0.0,4.0,299160.0,2,1,2.0,21.5
Love Makes The World Go Round,Deon Jackson,11,other,1966,1,32.0,0.666,0.337,-12.904,0.0511,0.7169999999999999,0.0,0.094,0.5929999999999999,121.128,5.0,4.0,152440.0,0,0,101.0,101.0
Ooh Baby,Deon Jackson,65,other,1967,11,16.0,0.4729999999999999,0.4939999999999999,-9.134,0.0399,0.2059999999999999,0.000103,0.3609999999999999,0.332,116.657,8.0,4.0,162771.0,1,0,11.0,11.0
People Are People,Depeche Mode,13,rock,1985,5,53.0,0.679,0.8289999999999998,-7.288,0.0604,0.0874999999999999,2e-06,0.318,0.812,119.96,9.0,4.0,232080.0,0,0,101.0,101.0
Strangelove,Depeche Mode,50,rock,1987,7,53.0,0.565,0.96,-3.503,0.0354,0.0441,0.00183,0.3519999999999999,0.888,118.999,4.0,4.0,227413.0,1,0,13.0,13.0
Never Let Me Down Again,Depeche Mode,63,rock,1987,12,52.0,0.5829999999999999,0.889,-6.484,0.0334,0.316,0.0275,0.699,0.6179999999999999,106.076,0.0,4.0,290493.0,2,0,13.0,31.5
Personal Jesus,Depeche Mode,28,rock,1989,12,62.0,0.637,0.682,-11.625,0.0366,0.0112,0.0234,0.0473,0.7139999999999999,129.983,11.0,4.0,224906.0,3,0,13.0,42.0
Enjoy The Silence,Depeche Mode,8,rock,1990,4,66.0,0.641,0.812,-7.945,0.0293,0.155,4.4e-05,0.078,0.822,112.777,0.0,4.0,257333.0,4,0,13.0,38.5
Policy Of Truth,Depeche Mode,15,rock,1990,8,58.0,0.679,0.66,-7.301,0.028,0.00938,0.258,0.1179999999999999,0.3559999999999999,114.209,8.0,4.0,294040.0,5,1,8.0,32.4
World In My Eyes,Depeche Mode,52,rock,1990,11,51.0,0.66,0.881,-7.801999999999999,0.0419,0.00737,0.8329999999999999,0.0514,0.949,122.244,10.0,4.0,267040.0,6,1,8.0,29.5
I Feel You,Depeche Mode,37,rock,1993,3,47.0,0.454,0.933,-6.539,0.0912,0.024,0.0421,0.4929999999999999,0.1409999999999999,122.909,2.0,3.0,276080.0,7,1,8.0,32.714285714285715
Walking In My Shoes,Depeche Mode,69,rock,1993,6,49.0,0.535,0.7019999999999998,-9.804,0.0294,0.0888,9e-06,0.3019999999999999,0.4829999999999999,93.083,2.0,4.0,326106.0,8,1,8.0,33.25
Barrel Of A Gun,Depeche Mode,47,rock,1997,2,43.0,0.522,0.949,-5.216,0.0729999999999999,0.0221,0.00286,0.0615,0.7069999999999999,165.872,4.0,4.0,336293.0,9,1,8.0,37.22222222222222
It's No Good,Depeche Mode,38,rock,1997,5,54.0,0.6009999999999999,0.756,-6.48,0.0348,0.0086599999999999,0.0413,0.0821,0.185,99.096,10.0,4.0,358520.0,10,1,8.0,38.2
Home,Depeche Mode,88,rock,1997,12,50.0,0.4729999999999999,0.7249999999999999,-7.785,0.0307,0.0829,0.00445,0.0787,0.463,150.741,1.0,4.0,342893.0,11,1,8.0,38.18181818181818
Only When I Lose Myself,Depeche Mode,61,rock,1998,10,31.0,0.519,0.7179999999999999,-7.267,0.0315,0.0498,0.000215,0.117,0.43,86.882,8.0,4.0,274000.0,12,1,8.0,42.333333333333336
Dream On,Depeche Mode,85,rock,2001,5,42.0,0.811,0.563,-9.452,0.0412,0.271,0.00158,0.132,0.631,127.986,10.0,4.0,260680.0,13,1,8.0,43.76923076923077
Precious,Depeche Mode,71,rock,2005,10,58.0,0.568,0.8379999999999999,-6.138,0.0266,0.0889,0.0567,0.0994,0.8519999999999999,104.988,1.0,4.0,245866.0,14,1,8.0,46.714285714285715
Cinnamon,Derek,11,hiphop,1968,10,13.0,0.6039999999999999,0.7419999999999999,-9.503,0.0459,0.0611,6e-06,0.259,0.923,163.861,9.0,4.0,161946.0,0,0,101.0,101.0
Bell Bottom Blues,Derek & The Dominos,91,hiphop,1971,2,56.0,0.4129999999999999,0.693,-5.936,0.0351,0.6009999999999999,0.0553,0.166,0.668,133.137,2.0,4.0,301720.0,0,0,101.0,101.0
Layla,Derek & The Dominos,10,hiphop,1971,3,75.0,0.394,0.918,-3.743,0.0709,0.5839999999999999,0.332,0.309,0.4789999999999999,115.646,1.0,4.0,423840.0,1,0,91.0,91.0
Let Me In,Derringer,86,rock,1976,8,9.0,0.643,0.73,-9.205,0.0576,0.0955,0.000382,0.0722,0.88,135.44,2.0,4.0,210293.0,0,0,101.0,101.0
A Bitter End,Deryl Dodd,88,other,1999,1,29.0,0.5949999999999999,0.4179999999999999,-8.092,0.0308,0.568,1.3e-05,0.116,0.25,138.069,9.0,4.0,218979.0,0,0,101.0,101.0
You Gotta Be,Des'ree,5,pop,1994,9,64.0,0.627,0.669,-9.985,0.0412,0.2109999999999999,3e-06,0.111,0.498,94.029,0.0,4.0,245200.0,0,0,101.0,101.0
Feel So High,Des'ree,67,pop,1995,4,33.0,0.6059999999999999,0.532,-10.426,0.0657,0.632,0.0,0.164,0.433,161.085,5.0,4.0,233266.0,1,1,5.0,5.0
Panda,Desiigner,1,hiphop,2016,3,72.0,0.72,0.748,-5.522,0.393,0.0235,0.0,0.3689999999999999,0.246,145.22,10.0,4.0,247866.0,0,0,101.0,101.0
Tiimmy Turner,Desiigner,34,hiphop,2016,8,73.0,0.6019999999999999,0.7249999999999999,-3.054,0.0393,0.1739999999999999,0.0,0.0786,0.3039999999999999,122.803,6.0,4.0,239853.0,1,1,1.0,1.0
Love On A Rooftop,Desmond Child,40,other,1991,6,12.0,0.6129999999999999,0.754,-8.128,0.031,0.1789999999999999,2e-06,0.2109999999999999,0.662,107.967,3.0,4.0,318226.0,0,0,101.0,101.0
You're The Story Of My Life,Desmond Child,74,other,1991,10,9.0,0.2909999999999999,0.546,-10.473,0.039,0.0247,0.0,0.0731,0.203,134.676,1.0,4.0,298293.0,1,0,40.0,40.0
Israelites,Desmond Dekker & The Aces,9,reggae,1969,5,46.0,0.775,0.5829999999999999,-7.266,0.0447,0.1479999999999999,0.00642,0.0621,0.974,73.426,8.0,4.0,155360.0,0,0,101.0,101.0
"No, No, No",Destiny's Child,3,pop,1997,11,50.0,0.67,0.5819999999999999,-3.574,0.224,0.3,0.0,0.0845,0.675,181.841,1.0,4.0,207466.0,0,0,101.0,101.0
"Bills, Bills, Bills",Destiny's Child,1,pop,1999,6,66.0,0.8449999999999999,0.5759999999999998,-5.15,0.153,0.139,0.0,0.0763999999999999,0.461,127.641,11.0,4.0,256026.0,1,1,3.0,3.0
Bug A Boo,Destiny's Child,33,pop,1999,9,53.0,0.76,0.7179999999999999,-3.087,0.1469999999999999,0.00413,8e-06,0.18,0.927,104.42,6.0,4.0,212440.0,2,2,1.0,2.0
Say My Name,Destiny's Child,1,pop,1999,12,77.0,0.7129999999999999,0.678,-3.525,0.1019999999999999,0.273,0.0,0.1489999999999999,0.7339999999999999,138.009,5.0,4.0,271333.0,3,2,1.0,12.333333333333334
"Jumpin', Jumpin'",Destiny's Child,3,pop,2000,5,71.0,0.771,0.685,-4.639,0.0567,0.00543,0.00157,0.0537,0.683,88.997,1.0,4.0,230200.0,4,3,1.0,9.5
Survivor,Destiny's Child,2,pop,2001,3,71.0,0.514,0.911,-2.027,0.41,0.0559,0.0,0.775,0.6189999999999999,161.109,1.0,4.0,254026.0,5,4,1.0,8.2
Bootylicious,Destiny's Child,1,pop,2001,6,65.0,0.8349999999999999,0.8329999999999999,-4.364,0.2839999999999999,0.00247,0.0,0.171,0.5859999999999999,103.358,1.0,4.0,207733.0,6,5,1.0,7.166666666666667
Emotion,Destiny's Child,10,pop,2001,9,62.0,0.4119999999999999,0.5769999999999998,-4.944,0.1189999999999999,0.163,0.0,0.0969,0.3449999999999999,173.675,7.0,4.0,236400.0,7,6,1.0,6.285714285714286
Lose My Breath,Destiny's Child,3,pop,2004,9,60.0,0.814,0.899,-5.958,0.0637,0.00727,0.219,0.0979,0.545,119.011,1.0,4.0,242013.0,8,7,1.0,6.75
Girl,Destiny's Child,23,pop,2005,4,66.0,0.567,0.747,-6.019,0.105,0.31,0.0,0.04,0.556,89.036,6.0,4.0,224146.0,9,8,1.0,6.333333333333333
Cater 2 U,Destiny's Child,14,pop,2005,4,64.0,0.6049999999999999,0.5839999999999999,-7.043,0.197,0.2859999999999999,0.0,0.2349999999999999,0.464,125.802,11.0,4.0,245400.0,10,8,1.0,8.0
Soldier,Destiny's Child Featuring T.I. & Lil Wayne,3,pop,2004,11,69.0,0.878,0.4169999999999999,-6.799,0.3609999999999999,0.0444,0.0,0.0833,0.904,77.48999999999998,7.0,4.0,325573.0,0,0,101.0,101.0
Do Me Right,Detroit Emeralds,43,rnb_soul,1971,2,11.0,0.8569999999999999,0.7049999999999998,-9.243,0.0428,0.256,2.3e-05,0.061,0.968,112.666,2.0,4.0,169251.0,0,0,101.0,101.0
Wear This Ring (With Love),Detroit Emeralds,91,rnb_soul,1971,8,5.0,0.651,0.502,-8.814,0.0278,0.762,0.0,0.4219999999999999,0.677,112.605,8.0,3.0,191518.0,1,0,43.0,43.0
"You Want It, You Got It",Detroit Emeralds,36,rnb_soul,1972,1,35.0,0.671,0.495,-9.129,0.0363,0.225,0.000121,0.0687,0.498,81.473,6.0,4.0,230360.0,2,0,43.0,67.0
Baby Let Me Take You (In My Arms),Detroit Emeralds,24,rnb_soul,1972,5,44.0,0.6049999999999999,0.4729999999999999,-10.119,0.0619,0.246,3.3e-05,0.0646,0.629,162.976,9.0,4.0,229112.0,3,0,36.0,56.666666666666664
Feel The Need,Detroit Emeralds,90,rnb_soul,1977,5,34.0,0.77,0.468,-11.103,0.054,0.333,0.0,0.232,0.785,118.203,9.0,4.0,221373.0,4,0,24.0,48.5
In The Dark,Dev,11,pop,2011,8,54.0,0.7359999999999999,0.823,-4.231,0.0675,0.00358,0.000914,0.33,0.442,124.954,8.0,4.0,226226.0,0,0,101.0,101.0
Naked,Dev & Enrique Iglesias,99,pop,2012,4,40.0,0.76,0.84,-3.548,0.111,0.257,0.0,0.0426,0.764,125.045,9.0,4.0,236933.0,0,0,101.0,101.0
Bass Down Low,Dev Featuring The Cataracs,61,pop,2010,12,49.0,0.797,0.624,-8.022,0.0628,0.0886,0.0,0.0499,0.8339999999999999,113.035,0.0,4.0,210600.0,0,0,101.0,101.0
Hanging On A Heart Attack,Device,35,metal,1986,6,30.0,0.505,0.891,-12.17,0.0487,0.00336,0.00675,0.329,0.4749999999999999,98.483,6.0,4.0,310426.0,0,0,101.0,101.0
Who Says,Device,79,metal,1986,9,24.0,0.6149999999999999,0.811,-12.636,0.031,0.0253,0.165,0.0878,0.912,124.731,5.0,4.0,292066.0,1,0,35.0,35.0
All On Me,Devin Dawson,52,country,2017,11,68.0,0.634,0.668,-5.488,0.0291,0.14,0.0,0.216,0.635,80.989,5.0,4.0,224626.0,0,0,101.0,101.0
Whip It,Devo,14,rock,1980,8,67.0,0.78,0.8689999999999999,-7.255,0.0517,0.0743999999999999,0.004,0.0621,0.957,157.902,9.0,4.0,161133.0,0,0,101.0,101.0
Working In The Coal Mine,Devo,43,rock,1981,9,35.0,0.794,0.672,-7.575,0.1189999999999999,0.562,0.00265,0.0879,0.78,158.937,5.0,4.0,169171.0,1,0,14.0,14.0
Come On Eileen,Dexy's Midnight Runners,1,pop,1983,1,69.0,0.435,0.652,-8.495,0.0404,0.519,0.0,0.129,0.806,108.097,0.0,4.0,273933.0,0,0,101.0,101.0
The Celtic Soul Brothers,Dexys Midnight Runners,86,pop,1983,5,11.0,0.465,0.7439999999999999,-8.74,0.067,0.2919999999999999,2e-06,0.3449999999999999,0.7279999999999999,192.286,4.0,4.0,167600.0,0,0,101.0,101.0
Heartless,Dia Frampton,57,other,2011,6,28.0,0.46,0.8419999999999999,-5.591,0.0491,0.2829999999999999,0.0,0.168,0.5959999999999999,156.1,8.0,4.0,208306.0,0,0,101.0,101.0
Losing My Religion,Dia Frampton,54,other,2011,7,38.0,0.6159999999999999,0.694,-5.421,0.0311,0.161,0.0,0.159,0.4839999999999999,129.844,3.0,4.0,212240.0,1,0,57.0,57.0
Inventing Shadows,Dia Frampton,20,other,2011,7,20.0,0.5969999999999999,0.786,-6.233,0.04,0.0116,0.000276,0.128,0.325,123.934,11.0,4.0,213040.0,2,0,54.0,55.5
Unbelievable,Diamond Rio,36,country,1998,12,44.0,0.765,0.5959999999999999,-7.586,0.0518,0.5,0.0,0.2889999999999999,0.941,158.112,11.0,3.0,141533.0,0,0,101.0,101.0
One More Day,Diamond Rio,29,country,2001,1,55.0,0.659,0.49,-5.093,0.0273,0.627,1e-06,0.134,0.273,131.081,4.0,5.0,215626.0,1,0,36.0,36.0
Beautiful Mess,Diamond Rio,28,country,2002,8,59.0,0.402,0.817,-3.756,0.0406,0.317,0.0,0.105,0.376,177.342,1.0,4.0,227920.0,2,0,29.0,32.5
I Believe,Diamond Rio,31,country,2003,3,36.0,0.374,0.343,-6.693,0.0312,0.686,3e-06,0.105,0.183,121.781,10.0,4.0,237186.0,3,0,28.0,31.0
Dreams,Diana DeGarmo,14,other,2004,7,8.0,0.551,0.6169999999999999,-5.709,0.0312,0.3579999999999999,0.0,0.131,0.2919999999999999,128.19,10.0,4.0,229160.0,0,0,101.0,101.0
Ain't Nobody,Diana King,94,reggae,1996,3,29.0,0.695,0.772,-5.351,0.0446,0.00164,4.6e-05,0.0507,0.495,97.298,10.0,4.0,321906.0,0,0,101.0,101.0
I Say A Little Prayer,Diana King,38,reggae,1997,7,47.0,0.69,0.889,-5.074,0.0595,0.00875,1e-05,0.0904,0.538,125.958,4.0,4.0,211533.0,1,0,94.0,94.0
Reach Out And Touch (Somebody's Hand),Diana Ross,20,other,1970,4,40.0,0.525,0.673,-7.611,0.0355,0.5779999999999998,0.0,0.272,0.524,134.375,5.0,3.0,188200.0,0,0,101.0,101.0
Ain't No Mountain High Enough,Diana Ross,1,other,1970,8,61.0,0.393,0.792,-5.076,0.0448,0.191,0.00364,0.376,0.379,98.757,8.0,4.0,215200.0,1,0,20.0,20.0
Remember Me,Diana Ross,16,other,1970,12,38.0,0.666,0.625,-7.011,0.0267,0.4759999999999999,4e-06,0.0702,0.655,112.744,9.0,4.0,212413.0,2,1,1.0,10.5
Reach Out I'll Be There,Diana Ross,29,other,1971,5,17.0,0.3439999999999999,0.5839999999999999,-8.622999999999998,0.11,0.7129999999999999,0.000302,0.0805,0.7019999999999998,170.737,4.0,4.0,334973.0,3,1,1.0,12.333333333333334
Surrender,Diana Ross,38,other,1971,8,26.0,0.4929999999999999,0.7019999999999998,-6.475,0.108,0.5969999999999999,0.000296,0.539,0.884,88.706,5.0,4.0,174520.0,4,1,1.0,16.5
I'm Still Waiting,Diana Ross,63,other,1971,11,42.0,0.3609999999999999,0.573,-9.587,0.0517,0.43,0.0,0.1729999999999999,0.542,83.07899999999998,0.0,4.0,224186.0,5,1,1.0,20.8
Good Morning Heartache,Diana Ross,34,other,1973,1,34.0,0.3439999999999999,0.187,-12.853,0.0521,0.802,0.00047,0.136,0.2849999999999999,181.049,5.0,3.0,141133.0,6,1,1.0,27.833333333333332
Touch Me In The Morning,Diana Ross,1,other,1973,6,54.0,0.3549999999999999,0.6149999999999999,-7.21,0.0314,0.454,0.0,0.0477,0.6029999999999999,137.19,6.0,4.0,207413.0,7,1,1.0,28.714285714285715
Last Time I Saw Him,Diana Ross,14,other,1974,1,35.0,0.53,0.625,-9.694,0.0646,0.455,1e-06,0.5819999999999999,0.7209999999999999,89.031,9.0,4.0,169706.0,8,2,1.0,25.25
Sleepin',Diana Ross,70,other,1974,5,8.0,0.377,0.3689999999999999,-12.637,0.0418,0.8639999999999999,0.0378,0.214,0.4239999999999999,139.345,10.0,4.0,282440.0,9,2,1.0,24.0
Theme From Mahogany (Do You Know Where You're Going To),Diana Ross,1,other,1975,11,50.0,0.35,0.4209999999999999,-10.757,0.0311,0.5909999999999999,0.000475,0.0949,0.281,140.057,0.0,4.0,204493.0,10,2,1.0,28.6
I Thought It Took A Little Time (But Today I Fell In Love),Diana Ross,47,other,1976,3,19.0,0.4069999999999999,0.627,-9.314,0.0804,0.4109999999999999,0.000504,0.195,0.4889999999999999,131.984,6.0,4.0,205333.0,11,3,1.0,26.09090909090909
Love Hangover,Diana Ross,1,other,1976,4,53.0,0.52,0.665,-10.313,0.0398,0.2429999999999999,0.0093,0.0508,0.88,112.465,1.0,4.0,468640.0,12,3,1.0,27.833333333333332
One Love In My Lifetime,Diana Ross,25,other,1976,8,17.0,0.7159999999999999,0.885,-6.239,0.0497,0.0201,0.106,0.108,0.928,91.054,7.0,4.0,220093.0,13,4,1.0,25.76923076923077
Gettin' Ready For Love,Diana Ross,27,other,1977,11,14.0,0.5949999999999999,0.4849999999999999,-12.449,0.0850999999999999,0.1489999999999999,0.0,0.0477,0.574,129.633,10.0,4.0,164960.0,14,4,1.0,25.714285714285715
Your Love Is So Good For Me,Diana Ross,49,other,1978,3,16.0,0.8339999999999999,0.7059999999999998,-13.978,0.0357,0.0103,0.1409999999999999,0.0348,0.875,113.502,1.0,4.0,393786.0,15,4,1.0,25.8
You Got It,Diana Ross,49,other,1978,5,10.0,0.7139999999999999,0.438,-13.436,0.0448,0.5,0.000128,0.0678,0.629,118.868,11.0,4.0,235200.0,16,4,1.0,27.25
The Boss,Diana Ross,19,other,1979,7,58.0,0.641,0.902,-4.118,0.0514,0.258,5.1e-05,0.134,0.8639999999999999,123.664,4.0,4.0,241333.0,17,4,1.0,28.529411764705884
Upside Down,Diana Ross,1,other,1980,7,57.0,0.877,0.8429999999999999,-8.518,0.0672,0.1749999999999999,0.0522,0.0447,0.8659999999999999,107.848,5.0,4.0,245600.0,18,4,1.0,28.0
I'm Coming Out,Diana Ross,5,other,1980,9,66.0,0.7289999999999999,0.8319999999999999,-9.168,0.0479,0.1789999999999999,0.3519999999999999,0.0806,0.758,110.116,5.0,4.0,323346.0,19,5,1.0,26.57894736842105
It's My Turn,Diana Ross,9,other,1980,10,44.0,0.3549999999999999,0.445,-10.221,0.028,0.401,0.0,0.2439999999999999,0.3569999999999999,76.093,8.0,4.0,236026.0,20,6,1.0,25.5
One More Chance,Diana Ross,79,other,1981,4,14.0,0.276,0.517,-9.628,0.0389,0.0376,1.4e-05,0.2039999999999999,0.311,165.639,11.0,4.0,262426.0,21,7,1.0,24.714285714285715
Why Do Fools Fall In Love,Diana Ross,7,other,1981,10,28.0,0.652,0.8,-5.463,0.0738,0.52,7.6e-05,0.566,0.961,160.105,4.0,4.0,173413.0,22,7,1.0,27.181818181818183
"Mirror, Mirror",Diana Ross,8,other,1982,1,15.0,0.7419999999999999,0.7389999999999999,-5.797,0.0378,0.219,0.00522,0.787,0.958,103.883,7.0,4.0,367373.0,23,8,1.0,26.304347826086957
