Song,Performer,Peak Position,grouped_genre,release_year,release_month,spotify_track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,time_signature,spotify_track_duration_ms,prior_song_count,prior_top10_count,prior_best_peak,prior_avg_peak
Good Morning Judge,10cc,69,rock,1977,8,47.0,0.7369999999999999,0.642,-9.492,0.0916,0.0185,0.00415,0.0726,0.467,106.742,9.0,4.0,174666.0,6,2,2.0,43.833333333333336
Dreadlock Holiday,10cc,44,rock,1978,9,67.0,0.84,0.391,-13.263,0.0581,0.555,0.0109,0.222,0.871,105.014,7.0,4.0,267946.0,7,2,2.0,47.42857142857143
For You And I,10cc,85,rock,1979,2,32.0,0.537,0.192,-14.67,0.0291,0.892,0.000544,0.107,0.159,79.88299999999998,0.0,4.0,317026.0,8,2,2.0,47.0
Come See Me,112,33,hiphop,1996,11,40.0,0.7009999999999998,0.378,-9.259,0.0664,0.0263,0.0,0.0649,0.6039999999999999,83.796,5.0,4.0,265760.0,0,0,101.0,101.0
Cupid,112,13,hiphop,1997,3,64.0,0.685,0.38,-11.219,0.112,0.373,0.0,0.0371,0.87,175.562,8.0,4.0,252266.0,1,0,33.0,33.0
It's Over Now,112,6,hiphop,2000,12,64.0,0.66,0.71,-4.541,0.0409,0.0106,7e-06,0.0736,0.233,97.988,1.0,4.0,264933.0,2,0,13.0,23.0
Peaches & Cream,112,4,hiphop,2001,4,67.0,0.677,0.52,-6.255,0.334,0.00277,0.0,0.0532,0.768,203.862,4.0,4.0,193093.0,3,1,6.0,17.333333333333332
Dance With Me,112,39,hiphop,2001,9,61.0,0.912,0.511,-6.365,0.203,0.0259,0.0,0.0442,0.6109999999999999,101.628,9.0,4.0,231800.0,4,2,4.0,14.0
U Already Know,112 Featuring Foxy Brown,32,hiphop,2005,3,53.0,0.677,0.525,-9.404000000000002,0.0483,0.224,0.0,0.1719999999999999,0.924,87.042,7.0,4.0,198880.0,0,0,101.0,101.0
Anywhere,112 Featuring Lil'z,15,hiphop,1999,3,55.0,0.5889999999999999,0.4769999999999999,-9.025,0.2899999999999999,0.114,0.0,0.188,0.8409999999999999,125.867,10.0,4.0,244415.0,0,0,101.0,101.0
Hot & Wet,112 Featuring Ludacris,70,hiphop,2003,10,34.0,0.8479999999999999,0.7309999999999999,-7.506999999999999,0.0921,0.112,3.9e-05,0.0804,0.8309999999999998,103.976,8.0,4.0,222040.0,0,0,101.0,101.0
Love Me,112 Featuring Mase,17,hiphop,1998,10,42.0,0.654,0.817,-5.898,0.153,0.124,1.2e-05,0.156,0.649,90.063,0.0,4.0,257333.0,0,0,101.0,101.0
Na Na Na,112 Featuring Super Cat,75,hiphop,2003,8,33.0,0.8279999999999998,0.652,-5.971,0.152,0.00893,0.000218,0.225,0.878,99.009,6.0,4.0,223493.0,0,0,101.0,101.0
Only You,112 Featuring The Notorious B.I.G.,13,hiphop,1996,6,62.0,0.764,0.525,-5.969,0.048,0.0296,0.0,0.0993,0.787,95.813,8.0,4.0,289413.0,0,0,101.0,101.0
Simon Says,1910 Fruitgum Co.,4,other,1968,1,30.0,0.777,0.693,-7.65,0.0343,0.24,0.0003,0.307,0.985,135.348,4.0,4.0,135493.0,0,0,101.0,101.0
May I Take A Giant Step (Into Your Heart),1910 Fruitgum Co.,63,other,1968,4,10.0,0.6069999999999999,0.647,-6.702,0.0306,0.259,0.0,0.24,0.964,144.02,2.0,4.0,143906.0,1,1,4.0,4.0
Goody Goody Gumdrops,1910 Fruitgum Co.,37,other,1968,10,8.0,0.635,0.633,-8.255,0.0317,0.2,0.0,0.114,0.758,132.984,7.0,4.0,136600.0,2,1,4.0,33.5
Indian Giver,1910 Fruitgum Co.,5,other,1969,1,17.0,0.7339999999999999,0.638,-8.758,0.0489,0.532,0.00423,0.1179999999999999,0.559,128.05,2.0,4.0,161893.0,3,1,4.0,34.666666666666664
Special Delivery,1910 Fruitgum Co.,38,other,1969,5,10.0,0.823,0.567,-8.580999999999998,0.0373,0.455,0.0,0.0329,0.963,137.144,4.0,4.0,158506.0,4,2,4.0,27.25
The Train,1910 Fruitgum Co.,57,other,1969,8,13.0,0.6179999999999999,0.878,-7.931,0.0495,0.343,6.3e-05,0.2349999999999999,0.8629999999999999,133.795,0.0,4.0,161840.0,5,2,4.0,29.4
That's When I Think Of You,1927,100,other,1989,8,50.0,0.565,0.777,-3.233,0.0335,0.00224,0.0555,0.2129999999999999,0.395,123.102,7.0,4.0,253226.0,0,0,101.0,101.0
I'm Different,2 Chainz,27,hiphop,2012,12,60.0,0.936,0.7019999999999998,-5.305,0.0615,0.0473,0.0,0.0838,0.7039999999999998,97.524,10.0,4.0,207040.0,0,0,101.0,101.0
Watch Out,2 Chainz,64,hiphop,2016,1,63.0,0.901,0.509,-6.777,0.4919999999999999,0.8419999999999999,0.0,0.0531,0.544,129.924,8.0,4.0,207813.0,1,0,27.0,27.0
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,16,hiphop,2013,6,61.0,0.554,0.899,-4.573,0.4079999999999999,0.0521,0.0,0.0568,0.552,171.966,8.0,4.0,227893.0,0,0,101.0,101.0
